zip_code,value,prediction
12167,0.0,0
12530,0.0,0
13290,0.0,0
12037,0.0,0
13639,98.299,0
11710,0.0,0
11753,0.0,0
12177,5968.0,0
13605,-999.0,0
13606,-999.0,0
12808,0.0,0
12205,11921.923,0
12211,5168.037,0
12210,2830.897,0
12203,6419.089,0
12205,8207.445,0
12206,5272.521,0
12210,2970.558,0
12202,-999.0,0
12203,-999.0,0
12205,10722.936,0
12206,5505.195,0
12207,8960.066,0
12209,-999.0,0
12211,4947.199,0
12007,0.0,0
12007,0.0,0
14005,-999.0,0
13607,514.974,0
14706,-999.0,0
14706,1730.868,0
12009,-999.0,0
13302,-999.0,0
12502,-999.0,0
13608,-999.0,0
12809,-999.0,0
13021,0.0,0
12018,-999.0,0
12018,-999.0,0
12018,-999.0,0
13027,-999.0,0
12020,-999.0,0
14012,-999.0,0
13304,-999.0,0
14742,0.0,0
14712,-999.0,0
14416,-999.0,0
12023,-999.0,0
13612,-999.0,0
14585,-999.0,0
14585,-999.0,0
12913,-999.0,0
12914,-999.0,0
12024,0.0,0
12815,-999.0,0
12025,-999.0,0
14420,5929.582,0
14716,-999.0,0
14219,-999.0,0
14220,-999.0,0
14208,1824.768,0
14226,6465.321,0
14209,1199.7,0
14210,-999.0,0
14216,1474.556,0
14201,-999.0,0
14206,2787.42,0
14209,1358.238,0
14211,-999.0,0
14214,-999.0,0
14216,1618.292,0
14260,-999.0,0
14028,411.777,0
12028,-999.0,0
12028,-999.0,0
14422,-999.0,0
13616,-999.0,0
14423,436.132,0
12816,-999.0,0
13032,1889.854,0
14717,-999.0,0
13617,-999.0,0
12032,-999.0,0
13643,-999.0,0
13619,-999.0,0
13638,0.0,0
14718,-999.0,0
13318,0.0,0
12033,307.622,0
13305,-999.0,0
14719,-999.0,0
12035,-999.0,0
12036,-999.0,0
14722,-999.0,0
14723,0.0,0
12922,-999.0,0
13037,-999.0,0
13039,3587.677,0
13039,3159.523,0
13039,2368.034,0
13040,-999.0,0
14031,-999.0,0
12513,-999.0,0
12513,-999.0,0
13641,-999.0,0
12819,0.0,0
12819,0.0,0
12841,-999.0,0
12065,2549.313,0
14724,-999.0,0
12043,-999.0,0
12045,-999.0,0
12046,0.0,0
12047,886.478,0
14034,-999.0,0
14035,0.0,0
13625,-999.0,0
13687,-999.0,0
12926,-999.0,0
13325,-999.0,0
13325,-999.0,0
13044,-999.0,0
13626,-999.0,0
13045,6860.845,0
12521,-999.0,0
12052,-999.0,0
14727,-999.0,0
14437,-999.0,0
14437,-999.0,0
14040,-999.0,0
13633,-999.0,0
13052,-999.0,0
13328,0.0,0
12053,-999.0,0
12053,-999.0,0
14173,0.0,0
14728,-999.0,0
13329,375.991,0
12056,-999.0,0
14048,9508.262,0
14048,4868.113,0
14135,-999.0,0
13472,-999.0,0
12059,-999.0,0
12061,1800.958,0
12062,-999.0,0
14729,-999.0,0
14729,-999.0,0
12063,0.0,0
12064,0.0,0
14057,-999.0,0
13635,-999.0,0
13635,-999.0,0
14058,446.903,0
13153,0.0,0
13060,0.0,0
12523,1.398,0
13637,-999.0,0
13063,-999.0,0
14060,-999.0,0
14735,0.0,0
14735,0.0,0
13639,0.0,0
12068,-999.0,0
12177,0.0,0
12177,0.0,0
12827,-999.0,0
12937,-999.0,0
12828,-999.0,0
12070,-999.0,0
12070,-999.0,0
13339,235.794,0
13340,-999.0,0
13775,0.0,0
13775,0.0,0
14737,272.948,0
14065,-999.0,0
14065,-999.0,0
14738,-999.0,0
13069,-999.0,0
14066,-999.0,0
14066,-999.0,0
14454,1019.256,0
13072,-999.0,0
12075,0.0,0
12075,0.0,0
13312,-999.0,0
13312,-999.0,0
12801,7487.205,0
12078,2391.808,0
14070,-999.0,0
12832,-999.0,0
14462,-999.0,0
12084,1110.608,0
12835,-999.0,0
12836,-999.0,0
14464,-999.0,0
13646,-999.0,0
12837,-999.0,0
13076,-999.0,0
13650,-999.0,0
14467,-999.0,0
13350,2339.947,0
13677,-999.0,0
13654,-999.0,0
14468,-999.0,0
14468,-999.0,0
13353,-999.0,0
13353,-999.0,0
14470,-999.0,0
14470,-999.0,0
13077,-999.0,0
13087,-999.0,0
14843,-999.0,0
14843,-999.0,0
12092,-999.0,0
12172,-999.0,0
12839,1468.68,0
13357,-999.0,0
12864,0.0,0
12842,-999.0,0
12864,0.0,0
14475,-999.0,0
12093,-999.0,0
12853,-999.0,0
12094,-999.0,0
12094,-999.0,0
12095,7293.681,0
13361,-999.0,0
12844,-999.0,0
12844,-999.0,0
14476,-999.0,0
14477,-999.0,0
12106,-999.0,0
12174,-999.0,0
13030,-999.0,0
12846,187.722,0
14085,-999.0,0
14480,-999.0,0
12110,7551.701,0
14091,-999.0,0
14091,-999.0,0
14092,1260.563,0
14485,-999.0,0
14485,-999.0,0
13658,-999.0,0
13088,7672.077,0
14094,1016.115,0
12847,-999.0,0
13659,-999.0,0
14098,791.215,0
14101,-999.0,0
14101,-999.0,0
13402,0.0,0
13402,0.0,0
12953,2914.525,0
13051,-999.0,0
13104,1756.986,0
13104,1338.018,0
13674,-999.0,0
13674,-999.0,0
13803,0.0,0
13108,-999.0,0
13111,0.0,0
12116,0.0,0
12116,0.0,0
13662,-999.0,0
12117,-999.0,0
14757,7.26,0
12118,-999.0,0
14479,0.0,0
13112,-999.0,0
13114,984.556,0
14105,-999.0,0
14105,-999.0,0
12851,-999.0,0
12956,-999.0,0
13407,0.827,0
12960,-999.0,0
12998,0.0,0
12961,0.0,0
12998,0.0,0
13664,-999.0,0
13664,-999.0,0
13408,0.0,0
13120,-999.0,0
13122,-999.0,0
13416,-999.0,0
13666,0.0,0
14303,-999.0,0
14304,-999.0,0
12130,-999.0,0
12130,-999.0,0
12130,-999.0,0
13667,-999.0,0
13667,-999.0,0
13678,-999.0,0
14111,-999.0,0
12862,0.0,0
12886,-999.0,0
12862,0.0,0
12855,-999.0,0
12855,-999.0,0
12967,-999.0,0
13124,0.0,0
14120,7207.107,0
13668,-999.0,0
13668,-999.0,0
14125,-999.0,0
12857,0.0,0
12857,0.0,0
13421,-999.0,0
14127,0.0,0
13410,-999.0,0
13428,-999.0,0
13131,-999.0,0
12137,1.102,0
12970,-999.0,0
14525,-999.0,0
14168,-999.0,0
14129,-999.0,0
14168,-999.0,0
13135,-999.0,0
14539,-999.0,0
14592,-999.0,0
14592,-999.0,0
13136,0.0,0
13675,0.0,0
13675,0.0,0
12140,-999.0,0
13431,-999.0,0
12974,-999.0,0
13368,-999.0,0
13368,-999.0,0
13368,-999.0,0
13433,-999.0,0
12859,-999.0,0
14770,-999.0,0
13647,-999.0,0
13647,-999.0,0
13141,-999.0,0
12469,0.0,0
13142,-999.0,0
12861,0.0,0
12804,-999.0,0
14131,-999.0,0
12143,-999.0,0
12571,-999.0,0
12571,-999.0,0
13437,-999.0,0
12144,13038.891,0
12148,-999.0,0
13144,-999.0,0
13144,-999.0,0
13681,-999.0,0
14736,-999.0,0
14736,-999.0,0
14775,-999.0,0
14620,-999.0,0
14608,-999.0,0
14625,-999.0,0
13440,11130.874,0
13440,-999.0,0
13441,0.0,0
13450,-999.0,0
12150,-999.0,0
12151,0.0,0
14543,-999.0,0
13685,-999.0,0
13452,-999.0,0
14783,-999.0,0
12865,0.0,0
12865,0.0,0
13454,-999.0,0
14132,3495.326,0
14132,2429.51,0
13145,-999.0,0
12981,0.0,0
12983,739.352,0
12302,4338.953,0
12302,3903.928,0
12303,1726.718,0
12304,2174.88,0
12306,3325.786,0
12307,-999.0,0
12309,-999.0,0
12157,-999.0,0
12157,-999.0,0
12858,0.0,0
12870,-999.0,0
12858,0.0,0
14880,-999.0,0
14781,-999.0,0
13461,-999.0,0
12873,0.0,0
14136,-999.0,0
14782,-999.0,0
12159,737.603,0
12803,-999.0,0
12803,-999.0,0
13155,0.0,0
12066,-999.0,0
12166,-999.0,0
14141,-999.0,0
12168,0.0,0
12170,-999.0,0
14784,1.473,0
13470,-999.0,0
12175,-999.0,0
13212,4954.939,0
13204,-999.0,0
13206,3012.545,0
13211,-999.0,0
13214,3882.202,0
13215,308.645,0
13219,1389.586,0
13203,2208.463,0
13208,-999.0,0
13214,4170.999,0
13219,1819.853,0
13224,1469.469,0
13471,7.096,0
13691,-999.0,0
13692,-999.0,0
13692,-999.0,0
13693,-999.0,0
12883,-999.0,0
12583,-999.0,0
14150,21285.635,0
12180,16323.681,0
12182,742.437,0
13158,-999.0,0
13158,-999.0,0
13159,-999.0,0
13020,0.0,0
12986,0.0,0
12986,0.0,0
13473,-999.0,0
13473,-999.0,0
13501,7957.854,0
12989,-999.0,0
13476,-999.0,0
13477,-999.0,0
13478,-999.0,0
12186,-999.0,0
13694,-999.0,0
13695,-999.0,0
12187,0.0,0
12885,468.926,0
12885,524.34,0
14569,-999.0,0
14569,-999.0,0
12188,-999.0,0
14571,0.295,0
13601,10466.057,0
13603,0.0,0
12190,-999.0,0
